Wavelength[nm],R,G1,G2,B
559,0.017806230231252784,0.5361963225053682,0.5336076005262574,0.03694573645976158
560,0.017906422507056066,0.5342747278636683,0.531766063188514,0.035193862038992045
561,0.018011955918234856,0.5280840438783841,0.5255603992222413,0.033659387600843194
562,0.018117489329413643,0.5218933598931,0.5193547352559685,0.03212491316269435
563,0.018223022740592433,0.5157026759078159,0.5131490712896958,0.0305904387245455
564,0.018642871183339217,0.5137140579033289,0.5112323088640492,0.02955983753699883
565,0.019062719626086,0.5117254398988418,0.5093155464384027,0.02852923634945216
566,0.019482568068832785,0.5097368218943548,0.5073987840127562,0.02749863516190549
567,0.02053383198651781,0.5078621886468523,0.5055612161433383,0.026727901740623384
568,0.02158509590420284,0.5059875553993498,0.5037236482739205,0.025957168319341275
569,0.022636359821887865,0.5041129221518473,0.5018860804045026,0.02518643489805917
570,0.02582357494558207,0.49741243920811923,0.4952375138451031,0.024465360329297324
571,0.02901079006927627,0.4907119562643911,0.4885889472857036,0.023744285760535475
572,0.032198005192970475,0.484011473320663,0.4819403807263042,0.02302321119177363
573,0.041269168378097666,0.48296846884740813,0.48091972853359083,0.02257329147074653
574,0.05034033156322486,0.4819254643741532,0.47989907634087753,0.022123371749719435
575,0.05941149474835204,0.4808824599008983,0.4788784241481642,0.021673452028692336
576,0.08126207239471307,0.47992532165146196,0.4780216514793155,0.021365419738030578
577,0.10311265004107412,0.47896818340202557,0.4771648788104669,0.021057387447368823
578,0.12496322768743515,0.47801104515258924,0.4763081061416182,0.020749355156707065
579,0.15565057659802317,0.47103681210106046,0.4697280826497858,0.020256039494821094
580,0.18633792550861117,0.46406257904953163,0.4631480591579535,0.019762723832935123
581,0.2170252744191992,0.45708834599800285,0.4565680356661211,0.019269408171049152
582,0.24749867164087286,0.4529774491218261,0.45277537078651914,0.018871373593488262
583,0.27797206886254655,0.44886655224564925,0.4489827059069172,0.018473339015927376
584,0.3084454660842202,0.4447556553694725,0.44519004102731524,0.018075304438366486
585,0.3336898758212582,0.4438648394743142,0.4443524601577385,0.017838281715279826
586,0.35893428555829615,0.442974023579156,0.4435148792881618,0.017601258992193163
587,0.38417869529533416,0.4420832076839977,0.44267729841858505,0.017364236269106503
588,0.3936561747556631,0.43353483570027396,0.4341601545635339,0.016956459868103072
589,0.40313365421599207,0.42498646371655013,0.42564301070848276,0.016548683467099645
590,0.412611133676321,0.41643809173282637,0.4171258668534316,0.016140907066096215
591,0.41738596637788755,0.4074256051266644,0.40821699476732387,0.015655004422840686
592,0.42216079907945414,0.39841311852050243,0.3993081226812162,0.015169101779585158
593,0.4269356317810207,0.3894006319143405,0.39039925059510844,0.014683199136329629
594,0.43661703897173954,0.3865615945078153,0.38789463775278066,0.014497293429204505
595,0.44629844616245834,0.38372255710129016,0.38539002491045293,0.01431138772207938
596,0.4559798533531772,0.38088351969476497,0.38288541206812515,0.014125482014954257
597,0.4584662318591829,0.37390510581755154,0.3761504156020852,0.01390301575875365
598,0.46095261036518853,0.36692669194033806,0.36941541913604514,0.013680549502553044
599,0.4634389888711942,0.3599482780631246,0.36268042267000516,0.013458083246352438
600,0.4572657453520143,0.3489330158900801,0.35169410307574145,0.012929811197916221
601,0.4510925018328344,0.33791775371703553,0.3407077834814778,0.012401539149480006
602,0.4449192583136545,0.326902491543991,0.3297214638872141,0.01187326710104379
603,0.44690790074378245,0.31985582502867993,0.32264484597272647,0.011619517144951297
604,0.44889654317391037,0.31280915851336893,0.3155682280582389,0.011365767188858802
605,0.45088518560403834,0.3057624919980579,0.3084916101437513,0.01111201723276631
606,0.45498714532749884,0.30176373060679806,0.3045355150782493,0.011094493616955086
607,0.45908910505095935,0.2977649692155382,0.3005794200127472,0.011076970001143861
608,0.46319106477441985,0.29376620782427837,0.29662332494724514,0.011059446385332638
609,0.45770067469763087,0.2851996373252447,0.28812487328664854,0.010869454083421704
610,0.45221028462084195,0.27663306682621114,0.279626421626052,0.010679461781510772
611,0.446719894544053,0.2680664963271775,0.2711279699654554,0.010489469479599839
612,0.4420895056556576,0.25799413917884906,0.26104293442523063,0.010210860915447161
613,0.4374591167672622,0.24792178203052065,0.2509578988850059,0.009932252351294482
614,0.4328287278788668,0.23784942488219224,0.24087286334478117,0.009653643787141805
615,0.4351389407528336,0.23390651990535308,0.23706350630292544,0.009728953202296583
616,0.43744915362680037,0.22996361492851394,0.2332541492610697,0.00980426261745136
617,0.4397593665007672,0.22602070995167478,0.22944479221921396,0.009879572032606138
618,0.44400675270660117,0.224000641792373,0.22757135404731207,0.010082731680428232
619,0.44825413891243515,0.22198057363307125,0.2256979158754102,0.010285891328250325
620,0.45250152511826913,0.21996050547376947,0.2238244777035083,0.010489050976072419
621,0.4472053832646117,0.21264754120382456,0.21648971640176745,0.010421305666639217
622,0.4419092414109543,0.20533457693387963,0.20915495510002663,0.010353560357206013
623,0.4366130995572968,0.19802161266393473,0.20182019379828578,0.01028581504777281
624,0.42898423495808624,0.19216202673310095,0.19590686170167734,0.01023528737596137
625,0.4213553703588757,0.1863024408022672,0.18999352960506888,0.010184759704149931
626,0.41372650575966513,0.18044285487143344,0.18408019750846044,0.010134232032338491
627,0.4182484712830984,0.17946376025623284,0.1831636243383802,0.010511430030514364
628,0.42277043680653165,0.17848466564103221,0.1822470511683,0.010888628028690237
629,0.4272924023299649,0.17750557102583162,0.18133047799821977,0.01126582602686611
630,0.43591486212312236,0.17815657889975792,0.18212672524625514,0.01185463109837209
631,0.44453732191627976,0.17880758677368425,0.18292297249429051,0.01244343616987807
632,0.4531597817094372,0.17945859464761055,0.18371921974232588,0.01303224124138405
633,0.44678354523903235,0.17628425264911032,0.1805237302962201,0.013233674573021968
634,0.44040730876862744,0.17310991065061013,0.17732824085011428,0.013435107904659887
635,0.4340310722982226,0.1699355686521099,0.1741327514040085,0.013636541236297805
636,0.4249134628020765,0.1645629937720581,0.16863752161910134,0.01375733942020998
637,0.41579585330593044,0.15919041889200627,0.16314229183419418,0.013878137604122156
638,0.40667824380978435,0.15381784401195447,0.15764706204928702,0.013998935788034331
639,0.407837893128314,0.15171594070285005,0.15557062528420376,0.014600126484800937
640,0.40899754244684355,0.1496140373937456,0.15349418851912047,0.015201317181567543
641,0.4101571917653732,0.14751213408464117,0.1514177517540372,0.01580250787833415
642,0.4131867237613384,0.14798471442897962,0.15195451099589274,0.016684211229836095
643,0.4162162557573036,0.14845729477331804,0.15249127023774825,0.017565914581338042
644,0.4192457877532688,0.14892987511765649,0.15302802947960378,0.01844761793283999
645,0.40958347561548086,0.14505312212234875,0.149067615504643,0.018592735443753915
646,0.39992116347769285,0.14117636912704104,0.14510720152968223,0.018737852954667837
647,0.3902588513399049,0.1372996161317333,0.14114678755472146,0.018882970465581763
648,0.3638432397001348,0.1269675353174231,0.13053110171141624,0.018006973443370905
649,0.3374276280603647,0.11663545450311291,0.11991541586811102,0.017130976421160043
650,0.3110120164205946,0.10630337368880272,0.10929973002480581,0.016254979398949185
651,0.2792752940476149,0.09496989913200035,0.097686545529318,0.015007574216490502
652,0.24753857167463528,0.08363642457519797,0.08607336103383019,0.013760169034031818
653,0.21580184930165558,0.07230295001839561,0.07446017653834239,0.012512763851573135
654,0.19199350298172316,0.06419314228119063,0.06612947627678324,0.011432603374231014
655,0.16818515666179074,0.05608333454398566,0.05779877601522408,0.010352442896888895
656,0.1443768103418583,0.04797352680678069,0.049468075753664936,0.009272282419546774
657,0.12864830259904717,0.04275958905107168,0.04409789499664477,0.008410891201509294
658,0.11291979485623602,0.037545651295362664,0.038727714239624615,0.007549499983471814
659,0.09719128711342488,0.03233171353965365,0.03335753348260445,0.006688108765434334
660,0.08544864387621035,0.028700541417776306,0.029608286215660872,0.0059901737470803166
661,0.07370600063899582,0.025069369295898963,0.025859038948717297,0.005292238728726298
662,0.06196335740178129,0.021438197174021616,0.022109791681773718,0.004594303710372281
663,0.05485400442310953,0.01920406757225098,0.019790758872653077,0.004138302589515426
664,0.04774465144443778,0.01696993797048035,0.017471726063532436,0.0036823014686585714
665,0.040635298465766016,0.014735808368709717,0.015152693254411796,0.0032263003478017168
666,0.03703216042407659,0.013527977386594513,0.01390724369582056,0.0029913543607622663
667,0.033429022382387166,0.012320146404479308,0.012661794137229324,0.0027564083737228154
668,0.029825884340697738,0.011112315422364105,0.011416344578638089,0.002521462386683365
669,0.027967404688119278,0.010594115613043216,0.010886837093792576,0.002410045390730898
670,0.02610892503554082,0.010075915803722328,0.010357329608947065,0.0022986283947784313
671,0.02425044538296236,0.00955771599440144,0.009827822124101552,0.0021872113988259645
672,0.022523792327643226,0.009145267083665467,0.009403964014452447,0.0020768254133589474
673,0.02079713927232409,0.008732818172929493,0.00898010590480334,0.00196643942789193
674,0.019070486217004957,0.008320369262193521,0.008556247795154235,0.001856053442424913
675,0.017405398888590717,0.007761985237040081,0.007977741550529879,0.0017091655150903921
676,0.015740311560176478,0.0072036012118866415,0.00739923530590552,0.0015622775877558715
677,0.014075224231762237,0.006645217186733201,0.006820729061281163,0.0014153896604213506
678,0.012598858904462277,0.00600973437267903,0.006159221498258175,0.0012689400583099969
679,0.011122493577162315,0.005374251558624858,0.005497713935235187,0.001122490456198643
680,0.009646128249862355,0.004738768744570687,0.004836206372212199,0.0009760408540872892
681,0.00856048597237004,0.00426102614864459,0.004348037727094171,0.0008723403341059998
682,0.007474843694877725,0.003783283552718493,0.003859869081976144,0.0007686398141247104
683,0.00638920141738541,0.0033055409567923962,0.0033717004368581166,0.0006649392941434209
684,0.005753873311721219,0.003042516113810472,0.003107355997736646,0.0006107576240736043
685,0.005118545206057028,0.0027794912708285478,0.0028430115586151757,0.0005565759540037876
686,0.004483217100392837,0.0025164664278466238,0.002578667119493705,0.0005023942839339709
687,0.004135020777226905,0.002365072936399978,0.0024239560157984443,0.0004617407299188818
688,0.0037868244540609735,0.0022136794449533325,0.002269244912103184,0.00042108717590379256
689,0.0034386281308950418,0.002062285953506687,0.002114533808407923,0.0003804336218887034
690,0.003208468482854016,0.0019370727659804223,0.0019834725996155187,0.0003508399261820632
691,0.0029783088348129903,0.001811859578454158,0.0018524113908231143,0.000321246230475423
692,0.0027481491867719643,0.0016866463909278933,0.00172135018203071,0.0002916525347687828
693,0.0025715406845043566,0.0015785431311410468,0.0016082000171945775,0.00027379346037454235
694,0.0023949321822367485,0.0014704398713542002,0.001495049852358445,0.0002559343859803019
695,0.002218323679969141,0.0013623366115673536,0.0013818996875223125,0.00023807531158606148
696,0.002098797605141141,0.0012992268738961754,0.001318330482758539,0.0002272692456854897
697,0.0019792715303131414,0.0012361171362249973,0.0012547612779947655,0.00021646317978491787
698,0.001859745455485142,0.001173007398553819,0.001191192073230992,0.00020565711388434609
699,0.0018226312551263598,0.0011607898896052594,0.0011818217773851172,0.00019964709880352993
700,0.0017855170547675778,0.0011485723806567,0.0011724514815392424,0.00019363708372271374
701,0.0017484028544087957,0.0011363548717081404,0.0011630811856933676,0.00018762706864189758
702,0.0017750441973404896,0.001161235334048439,0.0011904562258265338,0.00019307823068315165
703,0.0018016855402721835,0.0011861157963887372,0.0012178312659596997,0.00019852939272440575
704,0.0018283268832038773,0.0012109962587290358,0.001245206306092866,0.00020398055476565982
705,0.0018850315902539476,0.0012517267186252807,0.001285551736814982,0.00020923387208357036
706,0.0019417362973040177,0.0012924571785215254,0.0013258971675370985,0.00021448718940148088
707,0.001998441004354088,0.0013331876384177703,0.0013662425982592147,0.00021974050671939142
708,0.002028249217405744,0.0013500114855178134,0.0013839384454444022,0.0002178727599627055
709,0.002058057430457401,0.0013668353326178567,0.0014016342926295897,0.00021600501320601957
710,0.002087865643509057,0.0013836591797178998,0.0014193301398147773,0.00021413726644933367
711,0.0020589411738145443,0.0013524725930900165,0.0013868585591760316,0.00020783271517460863
712,0.0020300167041200313,0.001321286006462133,0.0013543869785372859,0.0002015281638998836
713,0.0020010922344255184,0.0012900994198342497,0.0013219153978985402,0.00019522361262515857
714,0.001888227156904952,0.0012209409372849005,0.0012540535061076046,0.00018053641709884973
715,0.0017753620793843855,0.0011517824547355514,0.0011861916143166688,0.00016584922157254086
716,0.0016624970018638192,0.0010826239721862022,0.0011183297225257332,0.00015116202604623203
717,0.0015525677828997497,0.0010190962660997416,0.0010540962914314424,0.00014179029810185262
718,0.00144263856393568,0.0009555685600132808,0.0009898628603371516,0.00013241857015747321
719,0.0013327093449716106,0.0008920408539268201,0.0009256294292428607,0.0001230468422130938
720,0.0012539505450581444,0.0008452964438988919,0.0008773553041585687,0.00011271784627707229
721,0.0011751917451446783,0.0007985520338709637,0.0008290811790742767,0.00010238885034105078
722,0.0010964329452312121,0.0007518076238430355,0.0007808070539899847,9.205985440502926e-05
723,0.0010524864122118077,0.0007144871930204185,0.0007411508649235492,8.655270642942591e-05
724,0.0010085398791924033,0.0006771667621978017,0.0007014946758571138,8.104555845382255e-05
725,0.0009645933461729987,0.0006398463313751848,0.0006618384867906783,7.55384104782192e-05
726,0.0009177628563850042,0.0006019776355676346,0.0006208847425226358,7.184470417184804e-05
727,0.0008709323665970097,0.0005641089397600845,0.0005799309982545932,6.815099786547687e-05
728,0.0008241018768090152,0.0005262402439525344,0.0005389772539865507,6.445729155910571e-05
729,0.0007812178166121681,0.0004964103173874697,0.0005078930960985339,6.021766281442387e-05
730,0.0007383337564153211,0.0004665803908224049,0.00047680893821051715,5.597803406974203e-05
731,0.000695449696218474,0.00043675046425734016,0.0004457247803225004,5.173840532506019e-05
732,0.0006647300065002798,0.0004229715888419702,0.00043341260885769537,4.831613805109619e-05
733,0.0006340103167820857,0.00040919271342660025,0.0004211004373928904,4.4893870777132196e-05
734,0.0006032906270638914,0.0003954138380112303,0.00040878826592808537,4.14716035031682e-05
735,0.0006044891760955644,0.00039521224941005477,0.00041023987814760467,4.2806170199248205e-05
736,0.0006056877251272375,0.00039501066080887924,0.0004116914903671239,4.414073689532821e-05
737,0.0006068862741589105,0.0003948090722077037,0.0004131431025866432,4.547530359140822e-05
738,0.0006309471311146758,0.00040548026150006515,0.0004282627337776006,4.7267357406937155e-05
739,0.0006550079880704413,0.0004161514507924265,0.000443382364968558,4.90594112224661e-05
740,0.0006790688450262067,0.00042682264008478795,0.0004585019961595154,5.0851465037995035e-05
741,0.0007241994200622145,0.0004563979073744701,0.00048464095829954475,5.239222273878142e-05
742,0.0007693299950982223,0.0004859731746641523,0.0005107799204395741,5.39329804395678e-05
743,0.0008144605701342301,0.0005155484419538344,0.0005369188825796034,5.547373814035419e-05
744,0.0008598355539731707,0.0005451956698623083,0.0005694482653737423,5.606327204664011e-05
745,0.0009052105378121113,0.0005748428977707822,0.000601977648167881,5.665280595292603e-05
746,0.0009505855216510519,0.000604490125679256,0.0006345070309620198,5.724233985921196e-05
747,0.0009625104550592449,0.0006192715532849184,0.0006492954251480257,5.649095826159004e-05
748,0.0009744353884674379,0.0006340529808905809,0.0006640838193340315,5.573957666396813e-05
749,0.000986360321875631,0.0006488344084962433,0.0006788722135200373,5.4988195066346217e-05
750,0.0009493196871562709,0.0006287050041075274,0.000659607685540751,5.853667210465827e-05
